"assessid","stockid","scientificname","stocklong","Bmsy","Btype","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","minratio"
"AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Pleuronectes quadrituberculatus","Alaska plaice Bering Sea and Aleutian Islands","129300","SSBmsy-MT linked to SSB-MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33120649651972,1.61432327919567,1.91696055684455,2.18029389017788,2.38263727764888,2.60916473317865,2.86625676720804,3.18435421500387,3.43262180974478,3.63419180201083,3.68463263727765,3.6230162412993,3.49215003866976,3.34785769528229,3.12480278422274,2.99457076566125,2.86011600928074,2.71036349574633,2.57909512761021,2.50530549110596,2.46424593967517,2.40117556071152,2.37913379737046,2.32646558391338,2.32624129930394,2.28899458623357,2.25970610982212,2.19703789636504,2.12904872389791,2.06686001546790,2.05177880897138,2.07563031709203,2.19973704563032,2.46075792730085,1.33120649651972
"AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Reinhardtius stomias","Arrowtooth flounder Bering Sea and Aleutian Islands","292200","SSBmsy-MT linked to SSB-MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543398357289528,0.539654346338125,0.572600958247775,0.597132101300479,0.593819301848049,0.592936344969199,0.60805954825462,0.640294318959617,0.665058179329227,0.732245037645448,0.822956878850103,0.8790212183436,0.946437371663244,0.991663244353183,1.06933264887064,1.1740212183436,1.31074948665298,1.46124572210815,1.57789185489391,1.6372553045859,1.69393223819302,1.71674880219028,1.73647501711157,1.74491444216290,1.79660848733744,1.85939767282683,1.92543121149897,2.04070157426420,2.17352156057495,2.27019507186858,2.38799794661191,2.54143737166324,2.69844284736482,0.539654346338125
"AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Reinhardtius stomias","Arrowtooth flounder Gulf of Alaska","428307","SSBmsy-MT linked to SSB-MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461755236314139,0.475252564165423,0.485301430982916,0.494017141909892,0.502641796655203,0.511336494617179,0.515886968926494,0.520245991776926,0.525289103376783,0.530280849951086,0.53307090474823,0.536631434928684,0.534705246470406,0.525858788205656,0.533820367166542,0.562059457351853,0.617153116806403,0.69539839414252,0.805293866315517,0.92725544994595,1.03622868643286,1.12855498509247,1.20887354164186,1.28195663390979,1.3674303712057,1.46987091035169,1.56667297055617,1.61859367229581,1.67082489896266,1.74180202518287,1.82877468731541,1.92842750643814,2.01874356477947,2.08984443401579,2.11539853422895,2.13373818312566,2.13699986224834,2.14049501875991,2.1376139077811,2.10891953668747,2.06470592355483,2.05650152810951,2.08715710926975,2.16893489949966,2.35690754528878,2.5944474407376,2.82068703056453,2.97756048815452,0.461755236314139
"AFSC-ATKABSAI-1976-2009-STANTON","ATKABSAI","Pleurogrammus monopterygius","Atka mackerel Bering Sea and Aleutian Islands","85500","SSBmsy-MT linked to SSB-MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.885157894736842,0.90072514619883,0.993216374269006,1.18432748538012,1.72994152046784,1.82128654970760,1.69520467836257,1.46842105263158,1.17836257309942,1.00350877192982,1.00797660818713,1.10591812865497,1.25333333333333,1.47380116959064,1.71438596491228,2.23146198830409,2.27719298245614,1.98888888888889,1.7506432748538,1.59497076023392,1.35543859649123,1.23660818713450,1.3106432748538,1.15560233918129,1.06343859649123,1.33684210526316,1.89614035087719,2.22432748538012,2.29286549707602,1.93602339181287,1.71473684210526,1.7140350877193,0.885157894736842
"AFSC-BKINGCRABPI-1960-2008-JENSEN","BKINGCRABPI","Paralithodes platypus","Blue king crab Pribilof Islands","4209.33376","SSBmsy-MT linked to SSB-MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.516164515308,3.46875083623685,1.82650757539359,1.24030079287417,0.530171786615467,0.270475107205564,0.306034178672494,0.567887969045249,0.150862354046261,0.217673402073016,0.664870062477536,0.94827595709588,0.988146874815648,0.940733195744497,0.672412823828919,1.77693916103246,1.07111962535373,0.658405856607579,0.727371639924319,0.401940092296221,0.44612048059596,0.34159562581229,0.14655288346629,0.144395772503438,0.0312496008869584,0.0818965707295209,0.0420256530097533,0.0818965707295209,0.0312496008869584
"AFSC-BKINGCRABSMI-1960-2008-JENSEN","BKINGCRABSMI","Paralithodes platypus","Blue king crab Saint Matthews Island","3350.68","SSBmsy-MT linked to SSB-MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.980642735205988,1.44930581255148,2.17287535664402,2.27007055284301,1.51536702997600,0.752945670729524,0.504130504852746,0.372410973294973,0.447136103716261,0.474211204889754,0.57330452326095,0.692163978655079,1.0536100134898,1.11412011890124,1.27535007819308,1.3713305955806,1.37958862081727,1.43576826196474,1.67564792818174,1.70651330476202,0.518748433153867,0.368349111225184,0.476649515919157,0.545554932133179,0.634629388661406,0.633680327575298,0.681604927954923,0.716260579941982,0.956952021679182,1.31068320460324,1.45431375123855,0.368349111225184
"AFSC-CABEZNCAL-1916-2005-STANTON","CABEZNCAL","Scorpaenichthys marmoratus","Cabezon Northern California","426","SSBmsy-MT linked to SSB-MT",2.17353051643192,2.07619953051643,1.96441784037559,1.92672535211268,1.93318779342723,1.96232159624413,1.98931455399061,1.96203990610329,1.94567840375587,1.95165727699531,1.96877699530516,1.99910328638498,2.0316103286385,2.04031455399061,1.97330751173709,1.97339671361502,1.95130985915493,1.90768309859155,1.91917370892019,1.93639436619718,1.94695539906103,1.93516197183099,1.96133333333333,1.92509859154930,1.89415962441315,1.87119248826291,1.89358215962441,1.88598591549296,1.87923708920188,1.81078873239437,1.78941079812207,1.72121596244131,1.70819248826291,1.59146713615023,1.44599295774648,1.4008661971831,1.36792253521127,1.20857746478873,1.03662910798122,0.938021126760563,0.844981220657277,0.790291079812207,0.773558685446009,0.793781690140845,0.885328638497653,0.896845070422535,0.85056807511737,0.891969483568075,0.922213615023474,0.836154929577465,0.921591549295775,0.985340375586854,1.09292018779343,1.18956103286385,1.16387323943662,1.04439436619718,NA,NA,NA,0.773558685446009
"AFSC-CABEZSCAL-1932-2005-STANTON","CABEZSCAL","Scorpaenichthys marmoratus","Cabezon Southern California","96","SSBmsy-MT linked to SSB-MT",2.46640625,2.44270833333333,2.42572916666667,2.40146875,2.36134375,2.25134375,2.14809375,2.00827083333333,1.91997916666667,1.88411458333333,1.91915625,1.97376041666667,2.03048958333333,2.06259375,2.05470833333333,2.05644791666667,2.02810416666667,1.95470833333333,1.94123958333333,1.95242708333333,1.96919791666667,1.97304166666667,1.93455208333333,1.62047916666667,1.42536458333333,1.39597916666667,1.39169791666667,1.40557291666667,1.47191666666667,1.49785416666667,1.5036875,0.64171875,0.591729166666667,0.411510416666667,0.41521875,0.295916666666667,0.191739583333333,0.198916666666667,0.31684375,0.41884375,0.449697916666667,0.405072916666667,0.35003125,0.306729166666667,0.35521875,0.321322916666667,0.26890625,0.23915625,0.266885416666667,0.26403125,0.242947916666667,0.141135416666667,0.128166666666667,0.36528125,0.622770833333333,0.7376875,NA,NA,NA,0.128166666666667
"AFSC-DUSROCKGA-1973-2008-MELNYCHUK","DUSROCKGA","Sebastes variabilis","Dusky rockfish Gulf of Alaska","15511","SSBmsy-MT linked to SSB-MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512539488105216,0.490297208432725,0.479595126039585,0.473470440332667,0.465476113725743,0.461543420798143,0.468893043646444,0.485590870994778,0.525111211398362,0.590097350267552,0.664496164012636,0.744632841209464,0.798143253175166,0.834311134033911,0.869254077751273,0.89336599832377,0.895686931854813,0.911546644316936,0.94262136548256,0.990651795499968,1.05886145316227,1.12494358842112,1.17710012249371,1.19244407194894,1.21836116304558,1.26297466314229,1.30591193346657,1.35864870092193,1.42176519889111,1.48642898588099,1.54129327573980,NA,0.461543420798143
"AFSC-FLSOLEBSAI-1977-2008-STANTON","FLSOLEBSAI","Hippoglossoides elassodon","Flathead sole Bering Sea and Aleutian Islands","139188","SSBmsy-MT linked to SSB-MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16844842946231,0.151916831910797,0.144322786447107,0.151298962554243,0.175237807856999,0.234840647182228,0.348234043164641,0.509627266718395,0.684383711239475,0.85036066327557,1.00928959393051,1.17074029370348,1.34303244532575,1.53841566801736,1.69680575911717,1.83390091099807,1.94920539126936,2.07585424030807,2.22851826306866,2.34738626893123,2.42085524614191,2.40958272264850,2.34387303503176,2.26737937178492,2.19072764893525,2.12434261574274,2.04684311865965,1.97844641779464,1.91694686323534,1.88166364916516,1.85033192516596,1.83295973790844,0.144322786447107
